,GPS,IMU,VelocidadLlantas,PorcentajeLlenado,KilosProcesados,VelocidadTrilladora,NivelCombustible,Kilometraje,NivelAceite,PresionLlantas
104,74.7,19.77,79.6,39.96,55.49,63.44,54.74,69.5,74.76,73.09
105,28.49,94.24,5.05,37.74,44.99,13.96,64.03,60.64,88.89,91.22
106,74.39,76.67,51.52,54.34,94.38,38.75,1.17,75.61,47.53,33.47
107,22.98,66.06,38.88,45.65,1.89,22.76,14.92,74.31,76.04,30.47
108,38.07,68.85,92.23,78.66,23.58,38.32,78.88,31.14,88.62,53.53
109,92.42,58.1,73.76,18.45,56.01,73.17,91.19,16.14,45.11,56.06
110,28.39,92.37,6.15,99.94,93.97,40.6,21.9,38.34,18.12,88.97
111,4.96,97.2,23.85,26.87,72.12,4.84,93.36,94.46,96.97,32.51
112,50.49,67.8,86.37,93.62,20.21,42.02,10.97,0.8,44.75,18.35
113,31.64,74.66,63.22,50.29,64.68,99.44,81.96,55.94,53.79,83.07
114,95.62,50.46,55.38,12.36,85.51,78.14,28.32,87.13,35.59,81.61
115,85.85,20.51,0.39,50.8,99.71,68.13,32.79,64.78,32.03,23.65
116,36.02,69.84,71.37,72.09,4.86,87.94,35.26,46.55,77.31,54.45
117,54.32,61.04,1.67,7.56,4.22,13.43,75.77,28.35,6.44,27.27
118,45.63,64.04,35.36,7.68,15.16,39.87,89.05,68.61,9.81,60.82
119,82.05,47.7,66.2,82.64,22.55,92.69,8.11,2.08,30.16,18.54
120,60.14,56.34,98.21,48.24,4.19,2.74,10.13,36.58,44.56,23.09
121,40.2,98.02,31.44,41.3,14.75,73.6,41.07,7.43,87.91,98.74
122,6.7,49.39,96.94,91.86,44.1,19.3,62.37,89.58,49.74,86.49
123,29.34,48.32,98.87,66.89,17.55,73.64,48.78,96.9,7.56,12.37
124,42.1,99.72,90.22,6.69,78.25,82.59,75.74,2.57,27.02,93.79
125,95.98,42.18,92.56,23.66,83.05,54.05,40.66,49.38,3.06,58.93
126,88.74,96.21,20.56,77.12,47.74,74.76,75.73,84.79,23.35,81.71
127,74.44,29.56,35.17,75.94,7.4,89.01,5.24,95.11,54.77,58.29
128,98.2,87.16,48.97,96.45,10.77,58.42,9.36,30.79,90.88,75.67
129,13.63,50.74,28.18,20.55,55.99,54.94,47.23,0.95,25.88,40.94
130,63.72,69.88,23.95,15.67,35.06,91.3,50.31,59.41,54.23,72.09
131,44.99,95.94,29.63,80.3,85.32,18.79,20.82,85.5,95.19,43.41
132,27.23,68.98,32.81,60.71,54.76,83.53,69.58,31.62,70.88,92.6
133,97.32,95.96,65.45,52.47,77.62,66.75,83.6,13,20.05,23.67
134,98.14,75.09,25.94,33.74,86.5,12.84,95.83,3.93,45.29,30.66
135,67.85,6.93,45.41,68.33,44.56,92.21,14.62,11.92,40.14,28.01
136,62.34,86.95,85.3,27.02,74.61,68.42,28,35.4,88.23,38.9
137,98.05,61.41,25.33,44.37,4.04,12.19,19.78,10.47,46.24,54.95
138,95.96,57.34,14.95,34.39,87.25,71.14,40.4,72.01,47.22,92.48
139,1.53,9.77,29.68,18.57,65.44,57.22,63.65,92.08,80.43,0.73
140,2.48,39.78,48.36,4.68,12.35,93.12,55.22,58.12,51.73,32.98
141,70.23,76.77,68.1,32.03,16.45,45.33,19.67,12.36,37.81,9.29
142,16.44,52.79,68.37,87.03,86.05,46.93,73.62,95.89,25.12,60.47
143,31.62,25.77,1.71,82.81,99.43,38.61,67.63,44.72,95.38,94.01
144,65.51,82.75,70.66,59.37,84.51,13.23,65.47,44.9,48.69,11.84
145,92.21,23.71,5.37,43.81,97.9,93.09,42.75,46.21,28.39,83.42
146,0.79,60.63,58.88,12.89,4.99,95.4,58.15,78.18,93.92,48.1
147,27.08,56.51,84.29,22.74,94.16,25.76,43.56,2.23,75.54,80.21
148,87.8,43.72,59.21,43.67,27.55,0.12,12.5,65.93,9.62,76.26
149,94.2,45.28,54.93,38.88,44.15,61,91.13,5.68,4.57,24.82
150,19.26,33.83,30.79,20.61,18.05,69.44,75.71,87.07,47.86,74.28
151,1.83,75.99,55.93,65.65,1.28,51.68,70.59,95.31,60.52,37.2
152,3.04,26.08,98.26,52.03,63.25,46.83,86.45,64.04,85.82,92.06
153,22.39,38.69,25.08,36.47,19.09,25.78,20.42,51.05,44.23,44.87
154,91.46,67.5,53.9,66.2,40.16,2.28,66.76,0.01,79.22,98.74
155,6.83,99.62,11.08,13.8,15.26,88.67,22.77,92.54,78.13,74.03
156,44.83,45.32,88.09,59.53,68.99,90.88,3.6,76.16,53.08,48.22
157,31.4,76.77,31.72,79.16,72.86,43.19,70.17,16.66,6.45,66.78
158,86.93,52.73,84.19,0.4,2.56,25.32,80.23,72.38,71.27,25.95
159,47.97,80.69,76.91,92.65,88.72,91.93,72.89,66.06,31.77,49.06
160,34.27,24.05,84.27,85.97,55.83,92.92,54.77,77.16,37.82,5.69
161,39.24,75.24,38.42,17.66,19.73,59.06,81.85,26.27,75.66,64.22
162,79.55,54.04,11.61,38.67,39.62,4.63,98.77,30.15,75.26,8.25
163,47.35,34.66,74.59,60.44,55.14,24.97,85.33,97.44,82.76,97.74
164,20.46,35.45,94.28,85.54,66.84,5.13,16.07,63.27,50.05,35.91
165,50.81,80.65,54.59,7.22,68.53,44.41,66.03,49.18,69.03,59.38
166,92.54,50.26,26.08,55.61,70.34,89.43,4.78,27.69,49.01,25.18
167,46.19,70.03,42.97,94.14,78.95,76.83,46.01,27.68,76.65,90.97
168,63.01,64.77,0.12,12.79,5.58,52.67,59.24,19.34,3.72,57.3
169,24.26,73.11,97.16,80.19,62.89,49.92,40.63,85.2,76.92,68.39
170,70.37,7.74,1.68,64.16,40.62,36.1,23.27,68.91,85.68,7.8
171,0.64,10.7,69.53,17.83,61.62,57.44,15.96,76.76,95.85,96.27
172,61.67,38.5,45.29,75.85,46.9,14.61,11.26,18.73,95.96,8.29
173,0.18,99.2,90.69,79.59,33.73,23.37,90.81,16.7,45.89,35.25
174,3.51,87.48,71.1,76.86,31.38,98.81,95.28,0.98,10.32,0.98
175,64.68,45.47,70.09,86.14,37.44,49.89,76.06,20.09,62.82,56.61
176,68.06,26.71,13.11,8.19,36.87,14.86,45.72,19.38,36.27,20.22
177,6.96,30.02,50.05,12.07,75.42,91.15,85.57,99.65,5.29,18.5
178,34.96,10.15,21.9,62.47,81.98,75.6,59.3,67.03,93.91,30.09
179,84.52,76.66,96.42,28.98,67.85,30.31,39.57,16.48,80.69,17.14
180,15.62,29.3,99.85,83.36,44.73,97.29,50.53,29.19,49.81,11.2
181,44.68,96.09,97.9,32.01,48.58,83.78,13.16,53.94,76.24,22.53
182,74.24,96.85,83.21,8.99,36.08,37.44,81.58,62.13,33.33,41.22
183,74.02,88.14,85.07,16.9,57.98,60.8,84.3,65.29,76.49,34.08
184,77.47,76.11,55.94,53.16,43.45,61.19,79.69,51.26,77.37,55.59
185,73.66,36.27,72.86,34.96,76.75,32.5,98.23,3.08,39.16,48.82
186,87.25,78.74,84.67,0.58,52.83,41.18,86.93,51.08,10.74,52.9
187,81.27,94.58,71.81,84.99,55.44,36.87,47.14,15.93,47.41,70.46
188,77.01,74.89,64.47,97.82,86.07,89.2,53.52,73.89,87.47,30.73
189,18.56,21.8,18.06,25.07,11.43,33.61,40.87,20.96,33.98,55.09
190,16.07,95.39,45.39,10.65,44.34,16.58,96.16,54.75,66.86,63.34
191,59.15,51.23,23.7,8.51,37.58,88.92,36.07,84.53,12.23,33.49
192,69.92,40.67,71.69,88.17,16.57,86.67,5.85,27.24,11.48,89.53
193,53.58,55.3,63.36,8.87,36.37,10.9,39.05,25.42,62.36,61.72
194,67.66,96.04,60.9,73.56,28.36,8.96,48.65,20.49,18.87,29.01
195,83.58,21.23,97.55,16.93,2.6,9.04,55.88,52.48,65.35,20.34
196,4.24,70.59,13.87,65.84,22.35,53.85,91.2,1.48,58.21,42.11
197,34.78,8.71,38.28,84.5,60.06,54.01,45.98,56.73,28.1,65.86
198,37.59,22.48,26.63,0.65,59.54,15.36,57.81,93.9,54.21,0.33
199,32.38,29.83,87.66,38.88,27.79,77.27,70.64,79.96,88.92,34.78
200,46.11,54.75,42.31,51.62,3.82,63.99,33.85,49.95,67.1,84.29
201,26.88,74.07,8.39,47.49,35.8,42.84,36.54,3.36,63.52,80.86
202,65.73,81.87,80.2,96.3,75.01,21.19,2.65,53.32,39.51,2.94
203,77.62,64.17,66.06,69.34,29.3,50.26,65.25,22.32,35.37,53.21
204,43.26,40.61,32.24,87.42,62.69,10.5,7.91,81.66,31,97.55
205,65.09,63.88,42.14,53.12,73.47,74.47,76.19,69.2,51.39,67.01
206,37.86,68.9,73.6,87.61,61.56,75.34,55.2,2.53,69.48,73.61
207,61.86,48.79,13.75,49.65,23.38,60.83,39.14,84.65,13.07,85.35
208,63.62,4.03,81.21,9.31,64.67,64.62,30.74,36.21,24.3,97.11
209,82.66,83.55,59.11,13.33,22.3,98.69,21.96,74.78,1.47,27.37
210,39.86,94.27,62.43,95.4,85.71,76.83,65,37.01,97.29,38.89
211,89.7,13.77,91.03,15.06,30.84,63.94,93.73,49.64,86.75,95.62
212,92.49,73.8,6.75,9.65,93.2,30.54,83.6,63.64,42.64,15.87
213,84.54,33.72,60.06,70.6,3.94,57.56,50.65,60.97,59.23,14.73
214,76.5,60,53.8,51.02,1,30.61,4.21,93.27,30.41,88.75
215,8.65,40.21,80.97,89.58,29.85,91.44,6.32,26.19,37.86,76.98
216,90.83,29.95,25.06,81.54,79.01,87.79,8.06,46.24,82.56,25.67
217,51.06,8.64,73.11,96.51,15.83,66.62,53.01,39.64,17.15,90.07
218,30.55,99.4,44.16,71.67,38.8,58.94,90.58,16.74,52.29,7.88
219,76.55,3.08,40.85,83.73,97.45,67.55,67.5,40.63,61.89,14.32
220,88.68,84.27,93.6,46.14,51.8,40.92,27.85,66.27,91.4,79.69
221,64.31,25.82,9.61,42.23,54.07,63.77,15.86,78.58,66.99,61.27
222,32.31,24.82,53.83,19.36,19.63,34,34.64,20.15,68.29,59.39
223,2.74,80.06,73.57,90.87,29.92,74.57,83.45,18.85,93.68,63.58
224,78.58,49.69,23.19,24.28,45.85,91.07,35.73,40.64,81.22,20.07
225,9.43,39.67,33.48,80.88,56.1,22.68,19.18,60.56,48.89,47.81
226,43.41,63.72,22.57,29.08,99.23,39.75,52.82,56.53,14.81,61.33
227,13.68,74.03,48.75,15.58,7.26,53.13,37.22,36.98,40.47,24.5
228,22.3,56.21,22.71,25,55.1,73.91,55.25,20.91,44.3,89.56
229,94.45,58.89,83.47,91.3,79.86,60.1,58.52,72.2,25.43,79.52
230,94.32,39.51,20.92,83.08,19.52,63.68,19.08,8.55,20.97,64.6
231,57.72,26.21,31.84,45.49,96.56,81.13,12.2,32.42,61.62,23.59
232,81.1,40.08,39.93,23.98,88.43,66.69,78.48,95.26,34.59,78.44
233,64.26,24.79,90.48,88.94,95.41,84.97,27.43,42.42,74.39,68.44
234,22.1,6.51,4.26,59.66,14.9,22.65,61.95,68.04,45.79,15.44
235,56.03,74.67,26.42,73.21,6.03,53.84,18.17,74.12,59.68,84.18
236,91.73,74.87,52.27,34.6,20.27,6.27,52.86,65.09,53.65,7.51
237,44.98,63.44,18.52,85.98,1.11,29.71,47.9,47.73,80.13,20.38
238,34.95,56.71,60.07,91.41,63.82,98.63,9.21,80.9,98.62,13.72
239,76.52,79.77,17.53,10.09,59.11,12.7,12.17,49.56,48.25,73.14
240,99.31,18.21,15.17,71.45,63.79,98.91,35.13,90.98,78.35,43.64
241,15.05,70.95,63.66,67.56,57.84,79.75,85.86,90.31,45,80.69
242,53.06,18.62,83.78,13.53,84.41,38.97,38.37,55.59,74.28,91.12
243,93.78,63.73,21.38,76.81,39.97,33.54,34.35,20.73,40.28,32.52
244,49.77,67.93,14.44,81.26,79.7,70.96,2.17,55.44,99.79,56.7
245,78.49,2.07,71.02,64.93,3.89,21.93,10.3,41.27,65.46,87.55
246,9.77,48.66,6.03,63.17,63.74,44.65,50.33,5.54,70.26,30.46
247,23.4,20.7,31.6,74.74,42.47,99.11,69.55,0.91,77.08,59.57
248,85.31,61.29,8.85,54.09,31.38,89.72,66.18,55.9,46.37,12.99
249,95.54,22.35,55.14,79.04,66.89,47.81,58.7,67.68,76.1,8.42
250,67.55,77.66,20.25,27.57,24.72,39.27,1.55,51.43,88.97,19.61
251,42.24,94.88,94.28,6.62,44.33,97.9,26.08,75.33,57.05,58.97
252,6.06,78.45,44.32,11.74,9.13,83.09,89.58,97.96,27.82,45.6
253,88.5,47.86,96.74,37.25,73.67,42.27,70.48,90.13,19.73,65.85
254,39.26,10.18,71.13,1.1,98.3,48.44,76.35,5.28,51.69,89.57
255,25.28,87.45,8.65,48.47,8.71,81.16,18.05,9.38,91.47,31.88
256,71.39,67.44,43.57,82.45,3.42,59.55,53.81,77.58,30.84,79.58
257,23.65,65.03,43.16,26.31,55.91,19,90.42,85.61,23.25,66.24
258,83.11,55.15,12.21,67.71,52.87,58.85,41.61,36.66,73.87,39.33
259,40.01,12.7,64.62,6.07,37.82,18.55,14.95,86.28,27.38,62.97
260,34.16,9.83,61.47,79.18,3.79,79.54,96.36,39.95,8.52,32.7
261,94.64,70.45,90.63,74.72,28.28,33.66,5.81,96.44,31.07,8.52
262,79.77,57.17,20.25,86.59,37.48,88.45,22.51,87.98,80.04,93.33
263,66.16,85.4,68.91,86.3,24.82,73.68,30.42,96.14,99.54,34.39
264,59.61,80.54,9.93,54.49,60.31,71.53,17.86,38.15,59.21,51.43
265,97.72,92.74,71.83,22.08,98.96,65.13,23.16,89.92,10.52,2.22
266,43.51,39.87,1.51,43.88,10.71,33.23,86.2,10.08,63.75,86.52
267,75.58,20.58,99.03,96.09,87.54,50.94,89.46,54.36,0.16,64.84
268,38.71,83.4,27.11,11.3,32.77,40.65,67.81,21.02,34.31,61.65
269,50.97,24.44,35.92,80.45,35.45,60.7,44.26,11.46,77.72,11.46
270,30.92,93.19,44.29,14,22.75,83.4,99.73,97.86,5.83,17.7
271,1.81,26.19,0.47,82.9,77.86,87.24,52.32,60.46,28.92,72.45
272,77.67,56.74,29.4,94.19,91.21,59.62,3.49,45.65,82.71,66.23
273,69.87,34.41,70.79,41.59,88.18,90.84,14.08,84.64,17.03,39.61
274,2.78,0.8,84.11,67.02,85.63,29.95,50,26.43,63.77,53.11
275,33.35,77.67,74.28,23.52,89.54,13.23,78.51,46.44,25.69,31.73
276,66.37,27.88,39.84,41.92,86.34,85.81,42.27,58.88,13.52,67.54
277,77.93,42.11,41.44,87.71,39.48,11.09,68.87,59.32,75.45,22.87
278,70.95,73.96,31.8,23.1,72.52,82.5,82.36,23.76,88.89,63.79
279,13.62,89.08,5.08,92.64,20.48,20.05,17.17,47.46,96.97,45.23
280,66.29,39.63,17.92,24.91,71.76,57.16,73.27,62.14,35.11,54.42
281,32.51,9.49,12.34,34.13,15.08,83.3,64.37,16.14,80.55,1.22
282,21.34,93.58,94.23,29.86,61.59,65.57,80.28,37.3,10.49,47.63
283,56.03,65.58,38.56,23.97,76.65,96.95,40.47,52.26,0.5,66.02
284,42.86,59.97,38.06,92.93,22.07,62.73,45.04,45.27,8.05,52.71
285,19.32,9.81,71,42.66,39.94,48.28,51.76,82.97,62.7,54.26
286,86.66,36.78,48.98,80.99,79.77,99.8,1.95,11.68,31.75,58.69
287,73.54,72.37,40.02,29.06,67.6,77.79,8.73,94.76,3.4,79.9
288,81.89,56.09,28.74,41.1,59.75,66.96,36.12,2.71,94.96,64.04
289,92.71,61.68,37.2,45.17,96.31,34.47,31,45.98,45.76,98.39
290,17.07,1.12,60.91,1.82,83.63,12.74,52.85,88.86,74.86,8.94
291,38.02,73.92,81.69,45.76,22.62,95.15,44.77,61.97,92.73,65.24
292,58.16,74.84,62.55,65.38,5.09,36.75,95.43,99.84,12.07,91.96
293,72.22,80.37,82.87,54.04,31.08,4.05,25.45,98.23,4.03,66.12
294,90.47,40.54,31.52,54.12,72.79,63.23,71.78,87.07,17.29,6.49
295,24.63,99.81,53,96.42,39.32,84.05,61.1,73.95,13.09,73.49
296,75.72,9.22,59.53,25.16,87.39,39.05,93.21,13.44,23.66,71.94
297,43.86,19.24,81.58,7.92,14.05,36.86,97.35,24.81,82.65,41.54
298,75.74,99.26,10.53,12.71,13.66,30.99,61.65,63.34,7.47,29.8
299,6.68,27.16,3.29,39.29,63.87,45.98,97.64,18.94,70.96,58.69
300,49.13,3.08,51.63,36.25,65.15,99.81,76.58,14.14,51.09,89.4
301,82.15,10.86,55.15,90.09,18.24,7.71,60.75,79.01,84.68,24.36
302,95.33,12.1,79.6,12.51,87.06,60.87,4.5,36.32,29.17,76.05
303,24.36,93.41,18.87,82.67,51.57,81,2.57,53.19,31.1,23.46
304,91.29,97.41,71.59,26.59,10.93,75.04,56.41,80.85,88.12,96.06
305,96.89,28.68,19.83,98.18,87.33,55.89,80.73,46.86,48.36,76.67
306,26.88,93.03,91.66,30.03,22.53,43.63,13.75,74.03,25.4,19.53
307,99.29,42.09,23.89,39.77,28.63,24.27,26.38,90.29,31.93,78.27
308,46.69,80.12,35.13,61.94,25.29,6.58,29.99,22.52,73.71,39.88
309,95.87,33.58,88.79,93.09,22.56,65.3,48.47,57.83,55.72,96.05
310,24.48,64.98,34.54,17.5,4.17,81.28,27.76,42.66,7.3,14.03
311,32.78,43.97,2.13,33.28,52.93,20.3,36.36,42.45,42.17,23.01
312,24.4,88.61,83.95,54.16,17.87,69.45,1.99,19.33,82.99,23.62
313,6.8,45.65,61.79,11.77,51.97,32.28,88.97,77,4.61,25.36
314,81.51,7.27,72.5,42.33,4.13,88.99,18.97,90.6,55.73,84.07
315,74.04,73.32,5.72,43.85,69.61,15.06,25.8,49.9,23.04,37.7
316,1.46,76.51,75.51,11.7,3.08,37.47,31.82,44.78,45.24,15.1
317,11.73,44.74,7.96,45.02,72.45,76.51,92.44,22.07,59.94,85.7
318,47.65,69.14,52.01,45.15,9.33,50.5,85.02,67.59,67.21,66.85
319,44.6,55.62,3.38,1.87,49.91,35.16,4.2,44.45,26.14,96.49
320,58.89,38.38,12.18,3.53,14.02,36.42,38.57,48.4,64.92,84.44
321,0.59,30.73,3.43,4.75,61.25,30.5,60.51,34.54,13.11,88.2
322,1.42,71.42,39.05,56.57,66.43,77.93,10.56,17.2,21.1,62.47
323,51.29,2,73.12,88.98,3.69,23.32,47.1,5.66,66.76,58.69
324,39.56,2.08,67.44,99.45,18.84,70.4,12.74,50.96,38.62,50.81
325,79.29,16.41,35.01,12.76,13.45,9.87,52.24,42.6,98.65,4.47
326,99,12.05,21.31,7.12,1.86,92.2,10.99,15.78,71.56,19.86
327,62.88,53.62,91.46,81.53,11.67,61.41,74.56,72.15,92.9,46.31
328,45.03,83.02,21.34,76.08,74.96,72.77,59.46,53.83,15.96,87.59
329,6.74,56.73,94.74,56.63,94.84,14.45,92.65,82.05,0.63,18.04
330,92.7,57.34,67.73,81.5,65.36,32.13,4.15,89.44,44.8,93.99
331,63.31,11.59,75.38,64.42,2.31,55.51,58.02,27.62,24.43,3.14
